ip,hostname,network,mac,upstream,port,agg_count
10.0.0.1,gateway,Infra,74:ac:b9:e5:b3:9e,core,26,
10.0.0.2,core,Infra,24:5a:4c:a2:c3:85,leaf,26,
10.0.0.20,switch-theatre,Infra,24:5a:4c:59:85:18,core,7,
10.0.0.21,switch-family,Infra,68:d7:9a:69:c2:cb,core,8,
10.0.0.22,switch-office,Infra,74:83:c2:0c:4b:80,core,9,
10.0.0.23,switch-spare-1,Infra,74:ac:b9:aa:af:9a,core,18,
10.0.0.24,switch-spare-2,Infra,68:d7:9a:69:c2:e7,core,14,
10.0.0.25,switch-spare-3,Infra,68:d7:9a:69:c3:12,core,15,
10.0.0.26,switch-spare-fe-1,Infra,74:ac:b9:ab:a6:b6,core,17,
10.0.0.27,switch-spare-fe-2,Infra,74:83:c2:0c:4b:96,core,16,
10.0.0.3,leaf,Infra,74:83:c2:6f:5b:71,core,25,
10.0.0.40,wap-gym,Infra,68:d7:9a:73:a8:14,core,2,
10.0.0.41,wap-basement,Infra,fc:ec:da:f0:cd:9e,core,1,
10.0.0.42,wap-garage,Infra,68:d7:9a:73:ac:75,core,3,
10.0.0.43,wap-library,Infra,f0:9f:c2:33:41:b1,core,4,
10.0.0.44,wap-master,Infra,e0:63:da:3c:37:96,core,5,
10.0.0.45,wap-guest,Infra,68:d7:9a:73:ac:ab,core,6,
10.0.0.50,eap-front,Infra,68:d7:9a:89:a5:3b,core,12,
10.0.0.51,eap-fence,Infra,68:d7:9a:89:a5:dd,core,10,
10.0.0.52,eap-deck,Infra,68:d7:9a:89:a5:e6,core,11,
10.0.1.100,host,Servers,2c:4d:54:4f:be:c3,leaf,24,
10.0.1.110,influxdb,Servers,52:54:a7:af:09:5c,,,
10.0.1.112,hub,Servers,52:54:a3:47:c5:88,,,
10.0.1.113,syslog,Servers,52:54:b8:25:57:ec,,,
10.0.1.114,metrics,Servers,52:54:5e:73:8e:d0,,,
10.0.1.115,grafana,Servers,52:54:51:ba:82:be,,,
10.0.1.116,teslamate,Servers,52:54:99:4f:1f:1c,,,
10.0.1.117,cultivator,Servers,52:54:3c:49:43:96,,,
10.0.1.118,unpoller,Servers,52:54:a3:c2:40:f0,,,
10.0.1.150,nas,Servers,00:11:32:ef:2b:cd,core,23,2
10.0.1.80,hass,Servers,1c:69:7a:67:79:7f,leaf,23,
10.0.1.91,kiosk-office,Servers,e4:5f:01:6c:c0:37,switch-office,4,
10.0.1.92,kiosk-poker,Servers,e4:5f:01:c9:42:35,leaf,12,
10.0.2.10,cam-front,Security,b8:a4:4f:23:1c:8e,leaf,2,
10.0.2.11,cam-deck,Security,b8:a4:4f:23:19:63,leaf,3,
10.0.2.12,cam-fence,Security,b8:a4:4f:23:01:4a,leaf,1,
10.0.2.13,cam-garage,Security,b8:a4:4f:22:fb:3e,leaf,6,
10.0.2.14,cam-patio,Security,b8:a4:4f:22:f9:0b,leaf,4,
10.0.2.2,nas,Security,00:11:32:ef:2b:ce,leaf,19,2
172.16.0.10,snoo,IoT,dc:4a:9e:d1:8b:90,,,
172.16.0.11,simplisafe,IoT,f8:51:28:bf:55:5d,,,
172.16.0.12,myq,IoT,cc:6a:10:04:54:6e,,,
172.16.0.13,nanoleaf,IoT,00:55:da:59:f9:fa,,,
172.16.0.14,gaming-remote,IoT,be:55:00:73:e0:7c,,,
172.16.0.15,jasnah,IoT,cc:88:26:3d:bb:09,,,
172.16.0.16,akerl-oasis,IoT,08:91:15:e1:1c:f5,,,
172.16.0.17,tivo-theatre,IoT,78:6a:1f:5d:8e:fb,switch-theatre,14,
172.16.0.2,appletv,IoT,64:d2:c4:a7:e4:01,switch-family,3,
172.16.0.20,solar-gw-1,IoT,28:0f:eb:01:85:9c,,,
172.16.0.21,solar-gw-2,IoT,28:0f:eb:10:91:09,,,
172.16.0.22,solar-pv-1,IoT,98:ed:5c:97:fc:ac,,,
172.16.0.23,solar-pv-2,IoT,98:ed:5c:94:91:8e,,,
172.16.0.24,solar-pv-3,IoT,98:ed:5c:94:91:68,,,
172.16.0.25,ev-charger-1,IoT,98:ed:5c:8d:bf:23,,,
172.16.0.26,ev-charger-2,IoT,c0:ee:40:85:7b:72,,,
172.16.0.27,ev-charger-3,IoT,98:ed:5c:8d:be:4c,,,
172.16.0.3,vrroom,IoT,18:9b:a5:d4:01:2d,switch-theatre,11,
172.16.0.30,power-shou,IoT,3c:84:6a:66:93:80,,,
172.16.0.31,power-sheng,IoT,c0:06:c3:60:35:5a,,,
172.16.0.32,power-serverfan,IoT,84:d8:1b:8a:9d:73,,,
172.16.0.33,power-chargers,IoT,b0:a7:b9:fa:7e:2a,,,
172.16.0.34,power-desktop,IoT,b0:a7:b9:fa:75:b0,,,
172.16.0.4,tivo-family,IoT,78:6a:1f:6f:a0:7f,switch-family,2,
172.16.0.40,rh-bedroom,IoT,94:b5:55:ef:bf:f0,,,
172.16.0.41,rh-nursery,IoT,c4:de:e2:01:6f:6c,,,
172.16.0.42,rh-office,IoT,c4:de:e2:01:8c:28,,,
172.16.0.43,rh-tea,IoT,40:22:d8:4b:a2:f8,,,
172.16.0.44,rh-basement,IoT,3c:e9:0e:1e:99:8c,,,
172.16.0.5,tivo-bar,IoT,78:6a:1f:5d:a3:97,core,20,
172.16.0.6,receiver-theatre,IoT,00:06:78:6f:0a:d4,switch-theatre,13,
172.16.0.7,tv-family,IoT,cc:a1:2b:cb:16:d7,switch-family,4,
172.16.1.10,cam-sunroom,IoT,b8:a4:4f:3a:95:6d,,,
172.16.1.101,lifx-1,IoT,d0:73:d5:70:53:12,,,
172.16.1.102,lifx-2,IoT,d0:73:d5:68:2b:fc,,,
172.16.1.103,lifx-3,IoT,d0:73:d5:70:58:7b,,,
172.16.1.11,cam-family,IoT,b8:a4:4f:15:fc:3f,,,
172.16.1.110,smoke-basement,IoT,cc:a7:c1:69:20:00,,,
172.16.1.111,smoke-suite,IoT,cc:a7:c1:69:6f:84,,,
172.16.1.112,smoke-gym,IoT,64:16:66:cf:15:ba,,,
172.16.1.113,smoke-theatre,IoT,cc:a7:c1:69:4c:60,,,
172.16.1.114,smoke-library,IoT,cc:a7:c1:69:4f:9e,,,
172.16.1.115,smoke-hallway,IoT,cc:a7:c1:69:97:34,,,
172.16.1.116,smoke-master,IoT,cc:a7:c1:69:58:74,,,
172.16.1.117,smoke-nursery,IoT,cc:a7:c1:69:12:11,,,
172.16.1.118,smoke-office,IoT,cc:a7:c1:69:59:2d,,,
172.16.1.119,smoke-upstairs,IoT,cc:a7:c1:69:5e:fc,,,
172.16.1.12,cam-living,IoT,b8:a4:4f:3a:96:80,,,
172.16.1.120,smoke-guest,IoT,cc:a7:c1:69:4b:3c,,,
172.16.1.13,cam-basement,IoT,b8:a4:4f:3a:c3:a6,,,
172.16.1.19,kiosk-tea,IoT,e4:5f:01:c9:4b:b9,,,
172.16.1.20,thermostat-bar,IoT,cc:a7:c1:0a:ec:70,,,
172.16.1.21,thermostat-basement,IoT,cc:a7:c1:0b:8f:7c,,,
172.16.1.22,thermostat-library,IoT,cc:a7:c1:0c:c6:4e,,,
172.16.1.23,thermostat-kitchen,IoT,cc:a7:c1:0c:ab:60,,,
172.16.1.24,thermostat-sunroom,IoT,cc:a7:c1:1f:19:f6,,,
172.16.1.25,thermostat-master,IoT,cc:a7:c1:0b:3d:80,,,
172.16.1.26,thermostat-guest,IoT,cc:a7:c1:0b:04:21,,,
172.16.1.27,nestconnect-1,IoT,18:b4:30:fe:13:0f,,,
172.16.1.29,nesthello,IoT,f0:ef:86:f0:1a:6a,,,
172.16.1.30,nestcam-nursery,IoT,64:16:66:df:03:80,,,
172.16.1.40,echo-basement,IoT,18:74:2e:22:21:be,,,
172.16.1.41,echo-kitchen,IoT,34:d2:70:b7:7f:12,,,
172.16.1.42,echo-bedroom,IoT,74:ec:b2:79:9e:41,,,
172.16.1.43,echo-family,IoT,50:f5:da:d4:00:e1,,,
172.16.1.50,airthings-hub,IoT,d0:14:11:90:42:e1,leaf,17,
172.16.1.51,airthings-office,IoT,6c:79:b8:ef:b5:4e,,,
172.16.1.60,flic-office,IoT,7e:a7:b0:31:9f:b0,,,
172.16.1.61,flic-bedroom,IoT,76:ee:2a:9c:72:0e,,,
172.16.1.70,owlet,IoT,d0:17:69:f5:27:a0,,,
172.16.1.71,hatch,IoT,24:6f:28:00:d6:58,,,
172.16.1.80,roomba-rover,IoT,50:14:79:4f:ed:1d,,,
172.16.1.81,roomba-spot,IoT,50:14:79:55:73:f5,,,
172.16.1.90,chromecast-bedroom,IoT,54:60:09:11:fb:e2,,,
172.16.20.10,ps5,Gaming,00:e4:21:9e:1a:8f,switch-theatre,15,
172.16.20.11,hyrum,Gaming,7c:10:c9:3c:03:88,switch-theatre,16,
192.168.1.10,lift,Standard,26:b7:f8:a0:25:10,,,
192.168.1.100,kelly-switch-wired,Standard,00:0e:c6:62:e8:16,switch-family,5,
192.168.1.101,kelly-imac,Standard,3c:a6:f6:7b:45:c6,,,
192.168.1.102,kelly-iphone,Standard,9a:c4:78:70:02:2e,,,
192.168.1.104,kelly-watch,Standard,92:d2:35:40:60:76,,,
192.168.1.11,szeth,Standard,02:df:8f:87:dd:f8,,,
192.168.1.12,wilson,Standard,f0:2f:4b:08:a6:77,,,
192.168.1.13,wilson-wired,Standard,5c:85:7e:35:5b:b4,switch-office,3,
192.168.1.14,laker-mac,Standard,bc:d0:74:32:53:b1,,,
192.168.1.15,laker-mac-wired,Standard,5c:85:7e:35:5b:d2,switch-office,2,
192.168.1.16,philote,Standard,1c:69:7a:aa:a7:74,switch-office,5,
192.168.1.18,bean,Standard,78:4f:43:84:02:b9,,,
192.168.1.19,wrist,Standard,82:3a:71:13:bc:e7,,,
192.168.1.2,printer,Standard,38:22:e2:90:2e:64,leaf,7,
192.168.1.21,switch,Standard,20:0b:cf:9b:12:bd,,,
192.168.1.3,usb-kvm,Standard,b8:27:eb:a1:38:10,,,
